binomial,CYTB,COI,ND1,ND2,12S,16S,FGB,MUSK,ODC,RAG1,TGFB2,ZENK
Calidris alpina,L06755.1,AY666415.1,,AY156135.1,KF041183.1,,,,,KC969118.1,,
Calidris mauri,KC969161.1,AY666261.1,,KC969099.1,KF041190.1,,,JQ252871.1,,KC969125.1,JQ253102.1,
Callipepla californica,AB120131.1,AY666478.1,,KR732836.1,KR732817.1,,,,,KT954353.1,KF834129.1,
Calypte anna,AY724767.1,DQ432811.1,,KX855360.1,,,EU042368.1,KX855592.1,KX855531.1,,,AF492501.1
Calypte costae,,DQ432812.1,,KX855363.1,,,KX855635.1,KX855594.1,KX855538.1,,,
Cariama cristata ,,JQ627335.1,,JF916443.1,U76024.1,JQ627237.1,DQ881948.1,,DQ881723.1,KT954424.1,EU737346.1,AF490158.1
Cathartes aura,KX534416.1,JN801544.1,KM876007.1,KX534714.1,EU167038.1,,DQ881949.1,EU739779.1,DQ881724.1,EF078766.1,KX534585.1,EU738917.1
Catharus guttatus,AF284067.1,DQ434525.1,EU372684.2,KY564244.1,EU372672.2,AF202827.1,AY082418.1,,EU680712.1,AY307184.1,EF484134.1,EF568319.1
Cepphus columba,EU372673.1,DQ433468.1,,EF373229.1,DQ674572.1,DQ674610.1,AY695193.1,,,EF373173.1,,
Cerorhinca monocerata,U37295.1,EU525337.1,,EF373230.1,EF373072.2,EF380289.1,,,,EF373174.1,,
Chaetura pelagica,AY294475.1,DQ432837.1,,AY294537.1,JQ520009.1,,AY830606.1,,GU166935.1,EF373495.1,,
Chaetura vauxi,AY294476.1,DQ433485.1,,AY294538.1,,,,,,,,AF492510.1
Charadrius vociferus,DQ485890.1,DQ385167.1,DQ385065.1,DQ385082.1,DQ485792.1,DQ485830.1,KM001504.1,EU739782.1,,AF143736.1,EU737350.1,
Chauna torquata,AY140736.1,AY140730.1,AY274053.1,AY274053.1,AY140700.1,AY274053.1,AY140702.1,EU739783.1,DQ881793.1,AF143728.1,EU737351.1,EU738921.1
Chordeiles acutipennis,DQ062148.1,JQ174437.1,,,AF173590.1,AF173590.1,,,,DQ482629.1,,
Chordeiles minor,EU166983.1,DQ434540.1,EU166924.1,,EU167037.1,,AY695137.1,,,,,
Chrysolophus pictus,EU839477.1,JF834897.1,,EU845768.1,LC012932.1,,DQ306964.1,,,,,JQ713755.1
Ciconia ciconia,AY567909.1,KY754495.1,,KJ455377.1,AY766388.1,,EF552758.1,EU739753.1,KJ455750.1,KT424095.1,EU737318.1,
Circus cyaneus ,AF115891.1,AY666437.1,KP857894.1,,GU390887.1,,,,,KF437491.1,KP857831.1,
Coccyzus americanus,HE793197.1,JN801580.1,,AF205022.1,AF173582.1,X87856.1,AY695225.1,EU739786.1,,DQ482640.1,EU737354.1,EU738924.1
Coccyzus erythropthalmus,AF249272.1,AY666445.1,AY274062.1,AY274062.1,AY274015.1,,,,,,,
Colaptes auratus,EU372676.1,DQ434553.1,EU372687.2,KX698419.1,FR687380.1,,AY082398.1,KC813466.1,,,GU566575.1,
Colibri thalassinus,,JQ174492.1,,EU042544.1,KC858297.1,,EU042380.1,,GU166986.1,,,
Colinus virginianus,EU372675.1,AY666347.1,EU166949.1,AF222545.1,KR732812.1,,AY952654.1,,,,,
Colius colius,U89174.1,,,AY625194.1,U89216.1,,,EU739790.1,,KT954404.1,EU737358.1,EU738928.1
Coloeus monedula,KJ456237.1,KY754498.1,,JQ864443.1,,FJ465207.1,AY395602.1,,JQ024075.1,,,
Columba livia,DQ054371.1,KU722397.1,AB753759.1,AF353433.1,KP234021.1,KC984243.1,AY082415.1,EU739791.1,KJ455757.1,AY228768.1,EU737359.1,EU738929.1
Columba palumbus,AY251472.1,KY754497.1,,EU482010.1,FN675606.1,KC984263.1,EU482032.1,,,,,
Columba rupestris,AF353410.1,GQ481613.1,,AF353434.1,,,,,KJ455758.1,KJ456009.1,,
Contopus sordidulus,AF447608.1,DQ433545.1,,AF447634.1,,,,,EU231932.1,,,
Coragyps atratus,KX534418.1,DQ433548.1,KM876006.1,KX534716.1,AY426746.1,,DQ881951.1,,DQ881729.1,DQ881804.1,KX534587.1,
Corvus brachyrhynchos,AY527271.1,EU834854.1,DQ191740.1,AY030138.1,,AY129275.1,DQ912652.1,,JQ024102.1,,,
Corvus caurinus,EF210778.1,AY666461.1,,JQ023961.1,,,,,JQ024097.1,,,
Corvus corax,JQ994493.1,AY527237.1,JF909890.1,JQ864446.1,,FJ465206.1,,,JQ024073.1,EF568252.1,JF909817.1,EF568305.1
Coturnix coturnix,EU839461.1,KP252180.1,X57246.1,EU845745.1,FN675551.1,AF302070.1,,,,JN979998.1,EU737363.1,AF026083.1
Crocodylus porosus,GU331904.1,EU621815.1,,JF315692.1,KC849165.1,AY770542.1,,,,JN654852.1,,
Cyanocitta stelleri,EU075439.1,DQ432882.1,,AY030139.1,,AF202829.1,DQ912642.1,KM198069.1,HQ123982.1,,,AF490187.1
Cypseloides niger,AY294480.1,,,AY294542.1,,,,,,,,
Dromaius novaehollandiae,HQ122590.1,U76059.1,,,U76045.2,U76038.1,,EU739746.1,,KT954349.1,EU737310.1,EU738883.1
Dryobates pubescens,AY509643.1,AF394295.1,,MF766640.1,AF173562.1,AF173562.1,AF394328.2,MF767044.1,,,MF767184.1,AF490186.1
